#  Last update: January 16 2024, 11:54:21
#  "IN": Internal residue; "NT": N-terminal residues; "CT": C-terminal residues
#  "Y": Available parameter; "-": Missing Parameter
#
#                                                     DEFAULT
#                            Swiss           Sannerlab (gaff)            Sannerlab_AMBER
#  NSTname            IN   NT   CT               IN   NT   CT               IN   NT   CT
  1    004             Y    -    -                Y    Y    Y                Y    Y    Y
  2    0A1             Y    -    -                Y    Y    Y                Y    Y    Y
  3    0AF             Y    -    -                Y    Y    Y                Y    Y    Y
  4    200             Y    -    -                Y    Y    Y                Y    Y    Y
  5    26P             Y    -    -                Y    Y    Y                Y    Y    Y
  6    2AG             Y    -    -                Y    Y    Y                Y    Y    Y
  7    2AS             Y    -    -                Y    Y    Y                Y    Y    Y
  8    2FM             Y    -    -                Y    Y    Y                Y    Y    Y
  9    2HF             Y    -    -                Y    Y    Y                Y    Y    Y
 10   2HF1             Y    -    -                Y    Y    Y                Y    Y    Y
 11   2HF2             Y    -    -                Y    Y    Y                Y    Y    Y
 12    2NP             Y    -    -                Y    Y    Y                Y    Y    Y
 13    32T             Y    -    -                Y    Y    Y                Y    Y    Y
 14    3CF             Y    -    -                Y    Y    Y                Y    Y    Y
 15    3FG             Y    -    -                Y    Y    Y                Y    Y    Y
 16    3GL             Y    -    -                Y    Y    Y                Y    Y    Y
 17    3MY             Y    -    -                Y    Y    Y                Y    Y    Y
 18    4BF             Y    -    -                Y    Y    Y                Y    Y    Y
 19    4CF             Y    -    -                Y    Y    Y                Y    Y    Y
 20    4CY             Y    -    -                Y    Y    Y                Y    Y    Y
 21    4FW             Y    -    -                Y    Y    Y                Y    Y    Y
 22    4HT             Y    -    -                Y    Y    Y                Y    Y    Y
 23    4IN             Y    -    -                Y    Y    Y                Y    Y    Y
 24    4PH             Y    -    -                Y    Y    Y                Y    Y    Y
 25    6CL             Y    -    -                Y    Y    Y                Y    Y    Y
 26    6CW             Y    -    -                Y    Y    Y                Y    Y    Y
 27    AA4             Y    -    -                Y    Y    Y                Y    Y    Y
 28    ABA             Y    -    -                Y    Y    Y                Y    Y    Y
