# Created by Michel Sanner and Sudhanshu Shanker
# Developed using backbone independent rotamer library from: www.swisssidechain.ch
# Last update: August 10 2023, 14:13:55
# NSTname  LType  DType  NameOfDform
      004      Y      Y         D004
      0A1      Y      Y         D0A1
      0AF      Y      Y         D0AF
      0BN      Y      Y         D0BN
      200      Y      Y         D200
      26P      Y      Y         D26P
      2AG      Y      Y         D2AG
      2AS      Y      Y         D2AS
      2FM      Y      Y         D2FM
      2HF      Y      Y         D2HF
     2HF1      Y      Y         D2H1
     2HF2      Y      Y         D2H2
      2NP      Y      Y         D2NP
      32T      Y      Y         D32T
      3CF      Y      Y         D3CF
      3FG      Y      Y         D3FG
      3GL      Y      Y         D3GL
      3MY      Y      Y         D3MY
      4BF      Y      Y         D4BF
      4CF      Y      Y         D4CF
      4CY      Y      Y         D4CY
      4FW      Y      Y         D4FW
     4HMP      Y      Y         D4HZ
      4HT      Y      Y         D4HT
      4IN      Y      Y         D4IN
      4PH      Y      Y         D4PH
      6CL      Y      Y         D6CL
      6CW      Y      Y         D6CW
      AA4      Y      Y         DAA4
      ABA      Y      Y         DABA
      ACZ      Y      Y         DACZ
     ADAM      Y      Y         DADM
      AGM      Y      Y         DAGM
      AHB      Y      Y         DAHB
      AHP      Y      Y         DAHP
      ALC      Y      Y         DALC
      ALN      Y      Y         DALN
      ALO      Y      Y         DALO
     ANTH      Y      Y         DNTL
      APD      Y      Y         DAPD
      APM      Y      Y         DAPM
      ARO      Y      Y         DARO
      AS2      Y      Y         DAS2
     AZDA      Y      Y         DZDA
      BB8      Y      Y         DBB8
      BCS      Y      Y         DBCS
      BHD      Y      Y         DBHD
      BIF      Y      Y         DBIF
      BIU      Y      Y         DBIU
     BTH3      Y      Y         DTH9
      BTR      Y      Y         DBTR
      BUG      Y      Y         DBUG
      C2N      Y      Y         DC2N
      CAN      Y      Y         DCAN
      CCS      Y      Y         DCCS
      CHG      Y      Y         DCHG
      CHP      Y      Y         DCHP
      CIR      Y      Y         DCIR
     CNP2      Y      Y         D2CF
     CP24      Y      Y         D24E
     CP34      Y      Y         D34E
     CPA3      Y      Y         DCPE
     CPG2      Y      Y         DCG6
     CPG3      Y      Y         DCG5
     CPG4      Y      Y         DCGD
     CPH2      Y      Y         DCF6
      CSA      Y      Y         DCSA
      CTE      Y      Y         DCTE
      CTH      Y      Y         DCTH
      D4P      Y      Y         DD4P
      DAB      Y      Y         DDAB
